transcription,transcription_hubert
CALVES THRIVE ON TENDER SPRING GRASS,CALFS THRIVE ON TENDER SPRING GRAS
POST NO BILLS ON THIS OFFICE WALL,POST NO BILS ON THIS OFICE WAL
TEAR A THIN SHEET FROM THE YELLOW PAD,TEAR A THIN SHET FROM THE YELOW PAD
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN,A CRUISE IN WARM WATERS IN A SLEK YACHT IS FUN
A STREAK OF COLOR RAN DOWN THE LEFT EDGE,A STREAK OF COLOR RAN DOWN THE LEFT EDGE
IT WAS DONE BEFORE THE BOY COULD SEE IT,IT WAS DONE BEFORE THE BOY COULD SE IT
CROUCH BEFORE YOU JUMP OR MISS THE MARK,CROUCHED BEFORE YOU JUM POR MIS THE MARK
PACK THE KITS AND DON'T FORGET THE SALT,PACK THE KIDS AND DON'T FORGET THE SALT
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE,THE SQUARE PEG WIL SETLE IN THE ROUND HOLE
FINE SOAP SAVES TENDER SKIN,FINE SOAP SAVES TENDER SKIN
POACHED EGGS AND TEA MUST SUFFICE,POACHED EGS AND TEA MUST SUFICE
BAD NERVES ARE JANGLED BY A DOOR SLAM,BAD NERVES ARE JANGLED BY A DOR SLAM
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES,SHIP MAPS ARE DIFERENT FROM THOSE OF THE PLAINS
DIMES SHOWERED DOWN FROM ALL SIDES,DIMS SHOWERED DOWN FROM AL SIDES
THEY SANG THE SAME TUNES AT EACH PARTY,THEY SANG THE SAME TUNES AT EACH PARTY
THE SKY AND THE WEST IS TINGED WITH ORANGE RED,THE SKY IN THE WEST IS TINGED WITH ORANGE RED
THE PODS OF PEACE FERMENT IN BARE FIELDS,THE PODS OF PEAS FERMENT IN BARE FIELDS
THE HORSE BALKED AND THREW THE TALL RIDER,THE HORSE BALKED AND THREW THE TAL RIDER
THE HITCH BETWEEN THE HORSE AND CART BROKE,THE HITCH BETWEN THE HORSE AND CART BROKE
PILE THE COAL HIGH IN THE SHED CORNER,PILE THE COAL HIGH IN THE SHED CORNER
A GOLD VASE IS BOTH RARE AND COSTLY,A GOLD VASE IS BOTH RARE AND COSTLY
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH,THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH
THE RAREST SPICE COMES FROM THE FAR EAST,THE RAREST SPICE COMES FROM THE FAR EAST
THE ROOF SHOULD BE TILTED AT A SHARP SLANT,THE ROF SHOULD BE TILTED AT A SHARP SLANT
A SMATTER OF FRENCH IS WORSE THAN NONE,A SMATER OF FRENCH IS WORSE THAN NONE
THE MULE TROD THE TREADMILL DAY AND NIGHT,THE MULE TROD THE TREADMIL DAY AND NIGHT
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND,THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND
TO SEND IT NOW IN LARGE AMOUNTS IS BAD,TO SEND IT NOW IN LARGE AMOUNTS IS BAD
THERE IS A FINE HARD TANG IN SALTY AIR,THERE IS A FINE HARD TANGU AND SALTY AIR
COD IS THE MAIN BUSINESS OF THE NORTH SHORE,CODIS THE MAIN BUSINES OF THE NORTH SHORE
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE,THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE
DUNK THE STALE BISCUITS INTO STRONG DRINK,DUNK THE STALE BISCUITS INTO STRONG DRINK
HANG TINSEL FROM BOTH BRANCHES,HANG TINSEL FROM BOTH BRANCHES
CAMP THE JAR WITH A TIGHT BRASS COVER,CAP THE JAR WITH A TIGHT BRAS COVER
THE POOR BOY MISSED THE BOAT AGAIN,THE POR BOY MISED THE BOAT AGAIN
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE,BE SURE TO SET THE LAMP FIRMLY IN THE HOLE
PICK A CARD AND SLIP IT UNDER THE PACK,PICK YA CARD AND SLIP IT UNDER THE PACK
A ROUND MAT WILL COVER THE DULL SPOT,A ROUND MAT WIL COVER THE DUL SPOT
THE FIRST PART OF THE PLAN NEEDS CHANGING,THE FIRST PART OF THE PLAN NEDS CHANGING
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW,A GOD BOK INFORMS OF WHAT WE OUGHT TO KNOW
THE MAIL COMES IN THREE BATCHES PER DAY,THE MAIL COMES IN THRE BATCHES PER DAY
YOU CANNOT BREW TEA IN A COLD POT,YOU CANOT BRU TEA IN A COLD POT
DOTS OF LIGHT BETRAYED THE BLACK CAT,DOTS OF LIGHT BETRAYED THE BLACK CAT
PUT THE CHART ON THE MANTEL AND TACK IT DOWN,PUT THE CHART ON THE MANTLE AND TACK IT DOWN
THE NIGHT SHIFT MEN RATE EXTRA PAY,THE NIGHT SHIFT MEN RATE EXTRA PAY
THE RED PAPER BRIGHTENED THE DIM STAGE,THE RED PAPER BRIGHTENED THE DIM STAGE
SEE THE PLAYER SCOOT TO THIRD BASE,SE THE BLAYER SCOT TO THIRD BASE
SLIDE THE BILL BETWEEN THE TWO LEAVES,SLIDE THE BIL BETWEN THE TWO LEAVES
MANY HANDS HELP GET THE JOB DONE,MANY HANDS HELP GET THE JOB DONE
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS,WE DON'T LIKE TO ADMIT OUR SMAL FAULTS
NO DOUBT ABOUT THE WAY THE WIND BLOWS,NO DOUBT ABOUT THE WAY THE WIND BLOWS
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD,DIG DEP IN THE EARTH FOR PIRATES COLD
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN,THE STEARDY DRIP IS WORSE THAN A DRENCHING RAIN
A FLAT PACK TAKES LESS LUGGAGE SPACE,A FLAT PACK TAKES LES LUGAGE SPACE
GREEN ICE FROSTED THE PUNCH BOWL,GREN ICE FROSTED THE PUNCH BOWL
A STUFF CHAIR SLIPPED FROM THE MOVING VAN,A STUFED CHAIR SLIPED FROM THE MOVING VAN
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED,THE STITCH WIL SERVE BUT NEDS TO BE SHORTENED
A THIN BOOK FITS IN THE SIDE POCKET,A THIN BOK FITS IN THE SIDE POCKET
THE GLOSS ON TOP MADE IT UNFIT TO READ,THE GLOS ON TOP MADE IT UNFIT TO READ
THE HAIL PATTERED ON THE BURNT BROWN GRASS,THE HAIL PATERED ON THE BURNED BROWN GRAS
SEVEN SEALS WERE STAMPED ON GREAT SHEETS,SEVEN SEALS WERE STAMPED ON GREAT SHETS
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS,OUR TROPS ARE SET TO STRIKE HEAVY BLOWS
THE STORE WAS JAMMED BEFORE THE SALE COULD START,THE STORE WAS JAMED BEFORE THE SALE COULD START
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE,IT WAS A BAD EROR ON THE PART OF THE NEW JUDGE
ONE STEP MORE IN THE BOARD WILL COLLAPSE,ONE STEP MORE AND THE BOARD WIL COLAPSE
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE,TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE
THE POT BOILED BUT THE CONTENTS FAILED TO JELL,THE POT BOILED BUT THE CONTENTS FAILED TO JEL
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH,THE BABY PUTS HIS RIGHT FOT IN HIS MOUTH
THE BOMBS LEFT MOST OF THE TOWN IN RUINS,THE BOMBS LEFT MOST OF THE TOWN IN RUINS
STOP AND STARE AT THE HARD WORKING MAN,STOP AND STARE AT THE HARD WORKING MAN
THE STREETS ARE NARROW AND FULL OF SHARP TURNS,THE STRETS ARE NAROW AND FUL OF SHARP TURNS
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE,THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE
OPEN YOUR BOOK TO THE FIRST PAGE,OPEN YOUR BOK TO THE FIRST PAGE
FISH EVADE THE NET AND SWIM OFF,FISH EVADE THE NET AND SWIM OF
DIP THE PAIL ONCE AND LET IT SETTLE,DIP THE PAIL ONCE AND LET IT SETLE
WILL YOU PLEASE ANSWER THAT PHONE,WIL YOU PLEASE ANSWER THE PHONE
THE BIG RED APPLE FELL TO THE GROUND,THE BIG RED APLE FEL TO THE GROUND
THE CURTAIN ROSE AND THE SHOW WAS ON,THE CURTAIN ROSE AND THE SHOW WAS ON
THE YOUNG PRINCE BECAME HEIR TO THE THRONE,THE YOUNG PRINCE BECAME HEIR TO THE THRONE
HE SENT THE BOY ON A SHORT ERRAND,HE SENT THE BOY ON A SURT ERAND
LEAVE NOW AND YOU WILL ARRIVE ON TIME,LEAVE NOW AND YOU WIL ARIVE ON TIME
THE CORNER STORE WAS ROBBED LAST NIGHT,THE CORNER STORE WAS ROBED LAST NIGHT
A GOLD RING WILL PLEASE MOST ANY GIRL,A GOLD RING WIL PLEASE MOST ANY GIRL
THE LONG JOURNEY HOME TOOK A YEAR,THE LONG JOURNEY HOME TOK A YEAR
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE,SHE SAW A CAT IN THE NEIGHBOR'S HOUSE
A PINK SHELL WAS FOUND ON THE SANDY BEACH,A PINK SHEL WAS FOUND ON THI SANDY BEACH
SMALL CHILDREN CAME TO SEE HIM,SMAL CHILDREN CAME TO SE HIM
THE GRASS AND BUSHES WERE WET WITH DEW,THE GRAS AND BUSHES WERE WET WITH DEW
THE BLIND MAN COUNTED HIS OLD COINS,THE BLIND MAN COUNTED HIS OLD COINS
A SEVERE STORM TORED DOWN THE BARN,A SEVERE STORM TORE DOWN THE BARN
SHE CALLED HIS NAME MANY TIMES,SHE CALED HIS NAME MANY TIMES
WHEN YOU HEAR THE BELL COME QUICKLY,WHEN YOU HEAR THE BEL COME QUICKLY
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,THE BATCH CANOE SLID ON THE SMOTH PLANKS
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,GLUW THE SHET TO THE DARK BLUE BACKGROUND
IT'S EASY TO TELL THE DEPTH OF A WELL,IT'S EASY TO TEL THE DEPTH OF A WEL
THESE DAYS A CHICKEN LEG IS A RARE DISH,THESE TAYS A CHICKEN LEG IS A RARE DISH
RICE IS OFTEN SERVED IN ROUND BOWLS,RICE IS OFTEN SERVED IN ROUND BOWLS
THE JUICE OF LEMONS MAKES FINE PUNCH,THE JUICE OF LEMONS MAKES FINE PUNCH
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,THE BOX WAS TREWN BESIDE THE PARK TRUK
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,THE HOGS WERE FED CHOPED CORN AND GARBAGE
FOUR HOURS OF STEADY WORK FACED US,FOUR HOURS OF STEADY WALK FEAST US
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,A LARGE SIZE IN STOCKINGS IS HARD TO SEL
THE BOY WAS THERE WHEN THE SUN ROSE,THE BOY WAS THERE WHEN THE SUN ROSE
A ROD IS USED TO CATCH PINK SALMON,A ROD IS USED TO CATCH BINK SALMON
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,KICK THE WAL STRET AND FOLOW THROUGH
HELP THE WOMAN GET BACK TO HER FEET,HELP THE WOMAN GET BACK TO HER FET
A POT OF TEA HELPS TO PASS THE EVENING,A POT OF TEA HELPS TO PAS THE EVENING
SMOKY FIRES LACK FLAME AND HEAT,SMOKY FIRES LACK FLAME AND HEAT
THE SOFT CUSHION BROKE THE MAN'S FALL,THE SOFT CUSHION BROKE THE MAN'S FAL
THE SALT BREEZE CAME ACROSS FROM THE SEA,THE SALT BREZE CAME ACROS FROM THE SEA
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,THE GIRL AD THE BOTS SOLD FIFTY BONS
THE SMALL PUP GNAWED A HOLE IN THE SACK,THE SMAL PUB GNOWED A HOLE IN THE SOCK
THE FISH TWISTED AND TURNED ON THE BENT HOOK,THE FISH TWISTED AND TURNED ON THE BENT HOAK
PRESS THE PANTS AND SEW BUTTON ON THE VEST,PRES THE PANTS AND SAW BUTON ON THE VEST
THE SWAN DIVE WAS FAR SHORT OF PERFECT,THE SWAN DAE WAS FAR SHORT OF PERFECT
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY,THE BEAUTY OF THE VUSTAN THE YOUNG BOY
TWO BLUE FISH SWAM IN THE TANK,TWO BLUEFISH SWAM IN THE TANK
HER PURSE WAS FULL OF USELESS TRASH,HER PORSE WAS FUL OF USELES TRASH
THE COLT REARED AND THREW THE TALL RIDER,THE COLT REARED AND THREW THE TAL RIDER
IT SNOWED,IT SNORED
RAINED,GREANED
AND HAILED THE SAME MORNING,AND HAILED THE SAME MORNING
READ VERSE OUT LOUD FOR PLEASURE,READ WUS OUT LOUD FOR PLEASURE
HOIST THE LOAD TO YOUR LEFT SHOULDER,HOIST THE LOAD TO YOUR LEFT SHOULDER
TAKE THE WINDING PATH TO REACH THE LAKE,TAKE THE WINDING PATH TO REACH THE LAKE
NOTE CLOSELY THE SIZE OF THE GAS TANK,NOTE CLOSELY THE SIZE OF THE GESTANK
WIPE THE GREASE OFF HIS DIRTY FACE,WIPE THE GREASE OF HIS DIRTY FACE
MEND THE COAT BEFORE YOU GO OUT,MEND THE COART BEFORE YOU GO OUT
THE WRIST WAS BADLY STRAINED AND HUNG LIMP,THE WRIST WAS BADLY STRAINED AND HUNG LIMP
THE STRAY CAT GAVE BIRTH TO KITTENS,THE STRAY CATCH GIVE BUTH TO KITENS
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,THE YOUNG GIRL GAVE NO CLEAR RESPONSE
THE MEAL WAS COOKED BEFORE THE BELL RANG,THE MEAL WAS COKED BEFORE THE BEL RANG
WHAT JOY THERE IS IN LIVING,WHAT JOY THERE IS IN LIVING
A KING RULED THE STATE IN THE EARLY DAYS,A KING RULED THE STATE IN THE EARLY DAYS
THE SHIP WAS TORN APART ON THE SHARP REEF,THE SHIP WAS TORN APART ON THE SHARP REF
SICKNESS KEPT HIM HOME THE THIRD WEEK,SICKNES KEPT HIM HOME THE THIRD WEK
THE WIDE ROAD SHIMMERED IN THE HOT SUN,THE WIDE ROAD SHIMERED IN THE HOT SUN
THE LAZY COW LAY IN THE COOL GRASS,THE LAZY COWN LY IN THE COL GRAS
LIFT THE SQUARE STONE OVER THE FENCE,LIFT THE SQUARE STONE OVER THE FENCE
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE,THE ROPE WIL BIND THE SEVEN BOKS AT ONCE
HOP OVER THE FENCE AND PLUNGE IN,HOP OVER THE FENCE AND PLUNGE IN
THE FRIENDLY GANG LEFT THE DRUG STORE,THE FRIENDLY GANG LEFT THE DRUG STORE
MESH WIRE KEEPS CHICKS INSIDE,MESHWILE KEPS CHICKS INSIDE
THE FROSTY AIR PASSED THROUGH THE COAT,THE FROSTY AIR PASED THROUGH THE COURT
THE CROOKED MAZE FAILED TO FOOL THE MOUSE,THE CROKED MITS FAILED TO FOL THE MOUSE
ADDING FAST LEADS TO WRONG SUMS,ADING FAST LEATS TO WRONG SUMS
THE SHOW WAS A FLOP FROM THE VERY START,THE SHOE WAS A FLOP FROM THE VERY START
A SAW AS A TOOL USED FOR MAKING BOARDS,A SAW IS A TOL USED FOR MAKING BOADS
THE WAGON MOVED ON WELL OILED WHEELS,THE WAGON MOVED ON WEL OILED WHELS
MARCH THE SOLDIERS PAST THE NEXT HILL,MARCH THE SOLDIERS PAST THE NEXT HIL
A CUP OF SUGAR MAKES SWEET FUDGE,A CUP OF SUGAR MAKES SWET FUDGE
PLACE A ROSEBUSH NEAR THE PORCH STEPS,PLACE A ROSE BUSH NEAR THE POT STEPS
BOTH LOST THEIR LIVES IN THE RAGING STORM,BOTH LOST THEIR LIVES IN THE RAGING STORM
WE TALKED OF THE SIDE SHOW IN THE CIRCUS,WE TALKED OF THE SIDE SHOWING THE CIRCUS
USE A PENCIL TO WRITE THE FIRST DRAFT,USE A PENCIL TO WRITE THE FIRST DRAUFHT
HE RAN HALFWAY TO THE HARDWARE STORE,HE RAN HALF WAY TO THE HARDWARE STORE
THE CLOCK STRUCK TO MARK THE THIRD PERIOD,THE CLOCK STRUCK TO MARK THE THIRD PERIOD
A SMALL CREEK CUT ACROSS THE FIELD,A SMAL CREK CUT ACROS THE FIELD
CARS AND BUSSES STALLED IN SNOW DRIFTS,CARS AND BUSES STALED IN SNOW DRIFTS
THE SET OF CHINA HIT THE FLOOR WITH A CRASH,THE SET OF CHINA HIT THE FLOR WITH A CRASH
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD,THIS IS A GRAND SEASON FOR HIKES ON THE ROAD
THE DUNE ROSE FROM THE EDGE OF THE WATER,THE DUNE ROSE FROM THE EDGE OF THE WATER
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE,THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE
A YACHT SLID AROUND THE POINT INTO THE BAY,A YACHT SLID AROUND THE POINT INTO THE BAY
THE TWO MET WHILE PLAYING ON THE SAND,THE TWO MET WHILE PLAYING ON THE SAND
THE INK STAIN DRIED ON THE FINISHED PAGE,THE INK STAIN DRIED ON THE FINISHED PAGE
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT,THE WAL TOWN WAS SEIZED WITHOUT A FIGHT
THE LEASE RAN OUT IN SIXTEEN WEEKS,THE LEASE RAN OUT IN SIXTEN WEKS
A TAME SQUIRREL MAKES A NICE PET,A TAME SQUIREL MAKES A NICE PET
THE HORN OF THE CAR WOKE THE SLEEPING COP,THE HORN OF THE CAR WOKE THE SLEPING CORPS
THE HEART BEATS STRONGLY AND WITH FIRM STROKES,THE HEART BEAT STRONGLY AND WITH FIRM STROKES
THE PEARL WAS WORN IN A THIN SILVER RING,THE PEARL WAS WORN IN A THIN SILVER RING
THE FRUIT PEEL WAS CUT IN THICK SLICES,THE FRUIT PEL WAS CUT IN THICK SLICES
THE NAVY ATTACKED THE BIG TASK FORCE,THE NAVY ATACKED THE BIG TASK FORCE
SEE THE CAT GLARING AT THE SCARED MOUSE,SE THE CAT GLARING AT THE SCARED MOUSE
THERE ARE MORE THAN TWO FACTORS HERE,THERE ARE MORE THAN TWO FACTORS HERE
THE HAT BRIM WAS WIDE AND TOO DROOPY,THE HAT BRIM WAS WIDE AND TO DROPY
THE LAWYER TRIED TO LOSE HIS CASE,THE LAWYER TRIED TO LOSE HIS GASE
THE GRASS CURLED AROUND THE FENCE POST,THE GRAS CURLED AROUND THE FENCE POST
CUT THE PIE INTO LARGE PARTS,CUT THE PIE INTO LARGE PARTS
MEN STRIVE BUT SELDOM GET RICH,MEN STRIVE BUT SELDOM GET RICH
ALWAYS CLOSE THE BARN DOOR TIGHT,ALWAYS CLOSE THE BARN DOR TIGHT
HE LAY PRONE AND HARDLY MOVED A LIMB,HE LAY PRONE AND HARDLY MOVED A LIMB
THE SLUSH LAY DEEP ALONG THE STREET,THE SLUSH LAY DEP ALONG THE STRET
A WISP OF CLOUD HUNG IN THE BLUE AIR,A WISP OF CLOUD HUNG IN THE BLUE AIR
A POUND OF SUGAR COSTS MORE THAN EGGS,A POUND OF SUGAR COSTS MORE THAN EGS
THE FIN WAS SHARP AND CUT THE CLEAR WATER,THE FIN WAS SHARP AND CUT THE CLEAR WATER
THE PLAY SEEMS DULL AND QUITE STUPID,THE PLACE SEMS DUL AND QUITE STUPID
BAIL THE BOAT TO STOP IT FROM SINKING,BUILD A BOAT TO STOP IT FROM SINKING
THE TERM ENDED IN LATE JUNE THAT YEAR,THE TERM ENDED IN LATE JUNE THAT YEAR
A TUSK USED TO MAKE COSTLY GIFTS,A TUSK IS USED TO MAKE COSTLY GIFTS
TEN PINS WERE SET IN ORDER,TEN PINS WERE SET IN ORDER
THE BILL WAS PAID EVERY THIRD WEEK,THE BIL WAS PAID EVERY THIRD WEK
OAK IS STRONG AND ALSO GIVES SHADE,OAK IS STRONG AND ALSO GIVES SHADE
CATS AND DOGS EACH HATE THE OTHER,CATS AND DOGS EACH HID THE OTHER
THE PIPE BEGAN TO RUST WHILE NEW,THE PIPE BEGAN TO RUST WHILE ANEW
OPEN THE CRATE BUT DON'T BREAK THE GLASS,OPEN THE CRATE BUT DON'T BREAK THE GLAS
ADD THE SUM TO THE PRODUCT OF THESE THREE,AD THE SUM TO THE PRODUCT OF THESE THRE
THIEVES WHO ROB FRIENDS DESERVE JAIL,THIEVES WHO ROB FRIENDS DESERVE JAIL
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE,THE RIPE TASTE OF CHESE IMPROVES WITH AGE
ACT ON THESE ORDERS WITH GREAT SPEED,ACT ON THESE ORDERS WITH GREAT SPED
THE HOG CRAWLED UNDER THE HIGH FENCE,THE HOG CRAWLED UNDER THE HIGH FENCE
MOVE THE VAT OVER THE HOT FIRE,MOVE THE WATOVIT A HOT FIRE
THE BARK OF THE PINE TREE WAS SHINY AND DARK,THE BARK OF THE PINE TRE WAS SHINY AND DARK
LEAVES TURN BROWN AND YELLOW IN THE FALL,LEAVES TURN BROWN AND YELOW IN THE FAL
THE PENNANT WAVED WHEN THE WIND BLEW,THE PENANT WEAVED WHEN THE WIND BLEW
SPLIT THE LOG WITH A QUICK,SPLIT A LOG WITH A QUICK
SHARP BLOW,SHARP BLOW
BURN PEAT AFTER THE LOGS GIVE OUT,BON PET AFTER THE LOGS GIVE OUT
HE ORDERED PEACH PIE WITH ICE CREAM,HE ORDERED PECH PIE WITH ICE CREAM
WEAVE THE CARPET ON THE RIGHT HAND SIDE,WEAVE THE CARPET ON THE RIGHT HAND SIDE
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS,HEMP IS A WHEAT FOUND IN PARTS OF THE TROPICS
A LAME BACK KEPT HIS SCORE LOW,A LEAN BACK KEPT HIS SCOL LOW
WE FIND JOY IN THE SIMPLEST THINGS,WE FIND JOY IN THE SIMPLEST THINGS
TYPE OUT THREE LISTS OF ORDERS,TYPE OUT THRE LISTS OF ORDERS
THE HARDER HE TRIED THE LESS HE GOT DONE,THE HARDER HE TRIED THE LES HE GOT DONE
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE,THE BOS RAN THE SHOWE WITH A WATCHFUL EYE
THE CUP CRACKED AND SPILLED ITS CONTENTS,THE CUP CRACKED AND SPILED ITS CONTENTS
PASTE CAN CLEANSE THE MOST DIRTY BRASS,FAST CAN CLEANSE THE MOST DIRTY BRAS
THE SLANG WORD FOR RAW WHISKY IS BOOZE,THE SLANG WORD FOR RAW WHISKYS BOS
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP,IT CAUGHT ITS HINPAW IN A RUSTY TRAP
THE WHARF COULD BE SEEN AT THE FARTHER SHORE,THE WHARF COULD BE SEN AT THE FARTHER SHORE
FEEL THE HEAT OF THE WEAK DYING FLAME,FEL THE HEAT OF THE WEAK DYING FLAME
THE TINY GIRL TOOK OFF HER HAT,THE TINY GIRL TOK OF HER HAT
A CRAMP IS NO SMALL DANGER ON A SWIN,A CRAMP IS NO SMAL DANGER ON A SWIM
HE SAID THE SAME PHRASE THIRTY TIMES,HE SAID THE SAME PHRASE THIRTY TIMES
PLUCK THE BRIGHT ROSE WITHOUT LEAVES,PLUCK THE BRIGHT ROSE WITHOUT LEAVES
TWO PLUS SEVEN IS LESS THAN TEN,TWO PLUS SEVEN IS LES THAN TEN
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL,THE GLOW DEPENED IN THE EYES OF THE SWET GIRL
BRING YOUR PROBLEMS TO THE WISE CHIEF,BRING YOUR PROBLEMS TO THE WISE CHIEF
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH,WRITE A FOND NOTE TO THE FRIEND YOU CHERISH
CLOTHES AND LODGING ARE FREE TO NEW MEN,CLOTHES AND LODGING ARE FRE TO NEW MEN
WE FROWN WHEN EVENTS TAKE A BAD TURN,WE FROWN WHEN EVENTS TAKE A BAD TURN
PORT IS A STRONG WINE WITH A SMOKY TASTE,PORT IS A STRONG WINE WITH A SMOKY TASTE
THE YOUNG KID JUMPED THE RUSTY GATE,THE YOUNG KI JUMPED THE RUSTY GATE
GUESS THE RESULT FROM THE FIRST SCORES,GUES THE RESULT FROM THE FORCED SCOUSE
A SALT PICKLE TASTES FINE WITH HAM,A SALT PICKLE TAST FINE WITH HAM
THE JUST CLAIM GOT THE RIGHT VERDICT,THE JUST CLAIM GOT THE RIGHT VERDICT
THOSE THISTLES BEND IN A HIGH WIND,THOSE TISTLES SPEND IN A HIGH WIND
PURE BRED POODLES HAVE CURLS,PURE BRED PODLES HAVE CURLS
THE TREE TOP WAVED IN A GRACEFUL WAY,THE TRE TOP WAVED IN A GRACEFUL WAY
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK,THE SPOT ON THE BLOTER WAS MADE BY GREN INK
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT,MUD WAS SPATERED ON THE FRONT OF HIS WHITE SHIRT
THE CIGAR BURNED A HOLE IN THE DESK TOP,THE CIGAR BURNED A HOLE IN THE DESK TOP
THE EMPTY FLASK STOOD ON THE TIN TRAY,THE EMPTY FLASK STOD ON THE TIN TRAY
A SPEEDY MAN CAN BEAT THIS TRACK MARK,A SPEDY MAN CAN BEAT THIS TRACK MARK
HE BROKE A NEW SHOELACE THAT DAY,HE BROKE A NEW SHOE LACE THAT DAY
THE COFFEE STAND IS TOO HIGH FOR THE COUCH,THE COFE STANDIS TO HIGH FOR THE COUCH
THE URGE TO WRITE SHORT STORIES IS RARE,THE URGE TO WRITE SHORT STORIES IS RARE
THE PENCILS HAVE ALL BEEN USED,THE PENCILS HAVE AL BEN USED
THE PIRATES SEIZED THE CREW OF THE LOST SHIP,THE PIRATES SEIZED THE CREW OF THE LOST SHIP
WE TRIED TO REPLACE THE COIN BUT FAILED,WE TRIED TO REPLACE THE COIN BUT FAILED
SHE SEWED THE TORN COAT QUITE NEATLY,SHE SEWED THE TORN COAT QUITE NEATLY
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT,THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR,THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR
AT THAT HIGH LEVEL THE AIR IS PURE,AT THAT HIGH LEVEL THE AIR IS PURE
DROP THE TWO WHEN YOU ADD THE FIGURES,DROP THE TWO WHEN YOU AD THE FIGURES
A FILING CASE IS NOW HARD TO BUY,OF FILING CASES NOW HARD TO BUY
AN ABRUPT START DOES NOT WIN THE PRIZE,AN ABRUPT STAR DOES NOT WIN THE PRIZE
WHIT IS BEST FOR MAKING TOYS AND BLOCKS,WOD IS BEST FOR MAKING TOYS AND BLOCKS
THE OFFICE PAINT WAS DULL,THE OFICE PAINT WAS ADUL
SAID DAN,SADAN
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS,HE KNEW THE SKIL OF THE GREAT YOUNG ACTRES
A RAG WILL SOAK UP SPILLED WATER,A RAG WIL SOAK UP SPILT WATER
A SHOWER OF DIRT FELL FROM THE HOT PIPES,A SHOWER OF DIRT FEL FROM THE HOT PIPES
STEAM HIST FROM THE BROKEN VALVE,STEAM HISED FROM THE BROKEN VALVE
THE CHILD ALMOST HURT THE SMALL DOG,THE CHILD ALMOST HURT THE SMAL DOG
THERE WAS A SOUND OF DRY LEAVES OUTSIDE,THERE WAS A SOUND OF DRY LEAVES OUTSIDE
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE,THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE
TORN SCRAPS LITTERED THE STONE FLOOR,TORN SCRAPS LITERED THE STONE FLOR
