transcription,transcription_whisper_base_en
WHITINGS ARE SMALL FISH CAUGHT IN NETS," Shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh"
SOME ADS SERVE TO CHEAT BUYERS, Turn the heat under the face like me
JERK THE ROPE AND THE BELL RINGS WEAKLY," Mmm, not the earth's only a thing."
A WAXED FLOOR MAKES US LOSE BALANCE," I'm just a bastard, I'm just a bastard."
MADAM THIS IS THE BEST BRAND OF CORN, I
TRY TO HAVE THE COURT DECIDE THE CASE, the
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, I'm going to have to ask you to stop eating my socks.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS," If we are in the house of Shanda, we are in the house of Shanda."
THEY FLOATED ON THE RAFT TO SUN THEIR WIDE BACKS, The love who am I stuck my foot on.
THE MAP HAD AN X THAT MEANT NOTHING," You're anxious, you're anxious, you're anxious."
WHITINGS OF SMALL FISH CAUGHT IN NETS," Shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh, shh"
SOME ADS SERVE TO CHEAT BUYERS, Try to avoid the end of the clock.
JERK THE ROPE AND THE BELL RINGS WEAKLY, If you're not sure if there's that much.
MADAM THIS IS THE BEST BRAND OF CORN, I am a mantis and precious beast of my life.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD THE PLAY BEGAN AS SOON AS WE SAT DOWN, The problem is that you should be able to see the problem.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, I
ADD SALT BEFORE YOU FRY THE EGG," Oh, she looked the slipper, slipper, slipper."
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, There is no sense of the person.
THE BIRCH LOOKED STARK WHITE AND LONESOME, the
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The blue chimes have the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the... the
TO MAKE PURE ICE YOU FREEZE WATER, I'm not by your eyes I swear to you
THE FIRST WORM GETS SNAPPED EARLY, The fish mmm...
JUMP THE FENCE AND HURRY UP THE BANK, Try the search of the other hand.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, And I'm not sure if I should have seen something else.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, the
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, I
ADD SALT BEFORE YOU FRY THE EGG," Oh, so the flicker act."
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY," Okay, nice."
THE BIRCH LOOKED STARK WHITE AND LONESOME, and
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The blue says how the heart pops up slightly.
TO MAKE PURE ICE YOU FREEZE WATER, and that time I'll just have to go on.
THE FIRST WORM GETS SNAPPED EARLY," If you're scared of your skin, you're scared of your skin."
JUMP THE FINCE AND HURRY UP THE BANK, Try the search of a happy man.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, And I must just have to have just some fun.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The breath that I'm in is from the flesh of the wind.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, The smell of a new shoe of a flower
ADD SALT BEFORE YOU FRY THE EGG, And she'll be here again.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, I
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The birch connoissele on the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Glue the sheets to the dark blue back ground.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of the wow.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days a chicken leg is a radish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Rice is often served in round pearls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The Hulk's with fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, Who hours of steady work faced us?
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, A rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Kick the ball straight and follow through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, A pot of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smokey fires lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's form.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The soft breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, We go let the booth sound 50 buns
THE SMALL PUP GNAWED A HOLE IN THE SACK, A small pack no other hole in the sock.
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the pants and sew button on the rest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, The swamp dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, A beauty of the view stand the young boy.
TWO BLUE FISH SWAM IN THE TANK, Two blue fish swam in the tank.
HER PURSE WAS FULL OF USELESS TRASH, The purse was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The cult reed and threw the tour rider.
IT SNOWED, It's snowed.
RAINED, right
AND HAILED THE SAME MORNING, and hailed the same morning.
READ VERSE OUT LOUD FOR PLEASURE, Read this out loud for pleasure.
HOIST THE LOAD TO YOUR LEFT SHOULDER, Place the node to your left shoulder
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the gas tank.
WIPE THE GREASE OFF HIS DIRTY FACE, wipe the grease off his dirty face
MEND THE COAT BEFORE YOU GO OUT, Man the coats before you go out.
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, The stray cat gave birth to kittens.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The younger gave no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The meal was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, A king ruled the state to me early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the sharp reef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sickness Captain Home the third week.
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide road shimmered in the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The Lazy Cow Lay in the Cool Grass
LIFT THE SQUARE STONE OVER THE FENCE, Lift the square stone over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the 7 bucks at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, The family down left the drugstore.
MESH WIRE KEEPS CHICKS INSIDE, Mesh wire keeps chicks inside.
THE FROSTY AIR PASSED THROUGH THE COAT, The foster passed through the coat.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crock hit maze failed to fool the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leaves to wrong sums.
THE SHOW WAS A FLOP FROM THE VERY START, The show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, I saw is a tool used for making boards.
THE WAGON MOVED ON WELL OILED WHEELS, The wag can move down well-oiled wheels.
MARCH THE SOLDIERS PAST THE NEXT HILL, March the soldiers past the next hill.
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet fudge.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place a rose bush near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talk to the side show in the circus.
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft.
HE RAN HALFWAY TO THE HARDWARE STORE, He ran half away to the hardware store.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small creek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Cars and buses stored in snow drifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The set of China had to throw with a crush.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dune rose from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words will look you for the actor to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, A yacht slid around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, The two met while playing on the sound.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stain dried on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The war town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, 10 square will make some ice pat
THE HORN OF THE CAR WOKE THE SLEEPING COP, The Horn of the Car woke the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beats strongly in with firm strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The pearl was worn in a thin silver ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, Then maybe attack the big task force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat glaring at the scared mouse.
THERE ARE MORE THAN TWO FACTORS HERE, There are more than two factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY, The hot brim was wide and too droopy.
THE LAWYER TRIED TO LOSE HIS CASE, The light tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The glass killed around the fence post.
CUT THE PIE INTO LARGE PARTS, Cut the pie into large parts
MEN STRIVE BUT SELDOM GET RICH, Man's drive but seldom get rich.
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the barn door tight.
HE LAY PRONE AND HARDLY MOVED A LIMB, He lay prone and hardly moved to limb.
THE SLUSH LAY DEEP ALONG THE STREET, The slash lady prolonged the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A whisper of cloud hung in the blue egg.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The fin was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems to learn quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, We are on the boat to stop it from sinking.
THE TERM ENDED IN LATE JUNE THAT YEAR, The term ended in late June of year.
A TUSK USED TO MAKE COSTLY GIFTS, A test is used to make costly gifts.
TEN PINS WERE SET IN ORDER, 10 pins were set in order.
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Oak is strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, Cats and dogs each hate the other.
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rest while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the crate but don't break the glass.
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these 3.
THIEVES WHO ROB FRIENDS DESERVE JAIL, Fives and Rob friends deserve jail.
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The ripe taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Act on these orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hog caught under the high fence.
MOVE THE VAT OVER THE HOT FIRE, You give that over the hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The bark of the pine tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turn brown and yellow in the form.
THE PENNANT WAVED WHEN THE WIND BLEW, The pen and waves when the wind blew.
SPLIT THE LOG WITH A QUICK, Split the log with it quick.
SHARP BLOW, Shock blue
BURN PEAT AFTER THE LOGS GIVE OUT, Burn Peter after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM, He ordered pitch pie with ice cream.
WEAVE THE CARPET ON THE RIGHT HAND SIDE, We have the carpet on the right hand side.
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, Hemp is a weird found in parts of the chopsticks.
A LAME BACK KEPT HIS SCORE LOW, Elaine back-cap to Scorno
WE FIND JOY IN THE SIMPLEST THINGS, We find joy in the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out three lists of orders.
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got done.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE, The boss ran the show with a watchful eye.
THE CUP CRACKED AND SPILLED ITS CONTENTS, The Cap cracked and spilled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brush.
THE SLANG WORD FOR RAW WHISKY IS BOOZE," The slang word for war with scares, bers."
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It caught its hind poor in a rusty chop.
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wolf could be seen at the father shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Feel the heat of the weak dying flame.
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off her hat.
A CRAMP IS NO SMALL DANGER ON A SWIN, A comp is no smaller danger on the swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said the same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Click the bright rose without leaves
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deep went in the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, Bring your problems to the wise chief.
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, Write a fond note to the friend you cherish.
CLOTHES AND LODGING ARE FREE TO NEW MEN, clothes and lodging are free to new men
WE FROWN WHEN EVENTS TAKE A BAD TURN, We frown when events take a bad turn.
PORT IS A STRONG WINE WITH A SMOKY TASTE, Port is a strong wine with a smoky taste.
THE YOUNG KID JUMPED THE RUSTY GATE, The young had jumped the rust to get.
GUESS THE RESULT FROM THE FIRST SCORES, Gas results on the first scores.
A SALT PICKLE TASTES FINE WITH HAM, A salt pickle tastes fine with ham.
THE JUST CLAIM GOT THE RIGHT VERDICT, The just claim got the right verdict.
THOSE THISTLES BEND IN A HIGH WIND, Those fish was bent in a high wind.
PURE BRED POODLES HAVE CURLS, Pew Brad Poodles of Cales
THE TREE TOP WAVED IN A GRACEFUL WAY, The tree top wave did a graceful way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the plot was made by Greenink.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, My was spattered on the front of his white shirt.
THE CIGAR BURNED A HOLE IN THE DESK TOP, The cigar burned a hole in the desktop.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flask stood on the tin tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A speedy man can beat this track mark.
HE BROKE A NEW SHOELACE THAT DAY, It broke initially yesterday.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, The urge to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The pilot seized the crew of the lost ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We try to replace the coin that failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sewed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The sofa cushion is red and of light weight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jackets hang on the back of the white chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At the time level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two when you add the figures.
A FILING CASE IS NOW HARD TO BUY, The filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, An abrupt start does not win the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, What is best for making ties and blocks?
THE OFFICE PAINT WAS DULL, The office paint wizard doll.
SAID DAN, Sad drum
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, And ride with showcups spoon water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt fell from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, Steam history from the broken valley
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hit the small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, It was a sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Tom's crap slid to the stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Someday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The doctor cured him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired today at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Out this store is account of the last cent.
ACID BURNS HOLES IN WOOL CLOTH, As it burns holes in wool cloth.
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tales should be front to right.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste.
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was down and tired the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, I'll decorum and put the sum here.
WE ADMIRE AND LOVE A GOOD COOK, We admire and love a good cook.
THERE THE FLOOD MARK IS TEN INCHES, There the flood mark is 10 inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, He carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruits of a fig tree as I've brush shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Corncobs can be used to kindle a fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumbtacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, Send your gift to a buyer at your good game.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs lay beside the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The packers fall with a maxed puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the third class.
THEY COULD LAUGH ALTHOUGH THEY WERE SAD," They could laugh, although they were sad."
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came into fresh field crop.
