transcription,transcription_whisper_base
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The Prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The house is built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Jack's flying North bedlucky campus.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors are used in fish chunks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do ask good than others.
CANNED PEARS LACK FULL FLAVOR, Count pays lack full flavour.
THE DARK POT HUNG IN THE FRONT CLOSET, A dark pot hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spin it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought our hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We have sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, Grey paint stretched for miles around.
THE RUDE LAUGH FILLED THE EMPTY ROOM, The root love filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, T-served from the brown jug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew.
A ZESTFUL FOOD IS THE HOT CROSS BUN, Resist! Whole food is the hot course bun!
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse chotted around the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find the twin who stole a pearl necklace.
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the corded bones the box tightly.
THE RED TAPE BOUND THE SMUGGLED FOOD, The rat ate bound the smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, Locking the corner to find the time-shit.
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold jazzy will hot the bomb drive.
NINE MEN WERE HIRED TO DIG THE RUINS, 9 men were hired to dig the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junkyard had a melody smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, A flint splutter and litter pine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Shake the coffin down the shopholder.
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves were bare of both jam or crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, A joke to every child is the swan boat.
ALL SAT FROZEN AND WATCHED THE SCREEN," Ossat, foes in a monster's screen."
A CLOUD OF DUST STUNG HIS TENDER EYES, A cloud of duststone is tenderized.
TO REACH THE END HE NEEDS MUCH COURAGE, To reach the end he needs much courage.
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shape the clay gently into block form.
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW," The Legion is smooth, so this is a bump of law."
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Head Jopples may stay in your hands green.
QUENCH YOUR THIRST, I'm sure first.
THEN EAT THE CRACKERS, Damn it the clock is.
TIGHT CURLS GET LIMP ON RAINY DAYS, Tight curls get limp on rainy days.
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The mutem are further high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring fits only a PST.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The Earth Pym was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, What's the log floating the wide river?
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The note on the stalk of wheat grew daily.
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The heap of fallen leaves was set on fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Right fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE, His shirt was clean but one button was gone.
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The bottom of the view is a blue-and-mortemed hops.
TIN CANS ARE ABSENT FROM STORE SHELVES, 10 cancel absent from store shelves
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into the empty space.
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and green in the winter.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The bean drop down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds floated with the breeze.
SHE DANCED LIKE A SWAN, She don't like a swan.
TALL AND GRACEFUL, Tall and graceful.
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown in the tie flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is late morning on the old wall clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, That's all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fight will end in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The Stor Wars were lined with colored rocks.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, A peace league meant to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Paper is scarce.
SO WRITE WITH MUCH CARE, So why do you have much care?
THE QUICK FOX JUMPED ON THE SLEEPING CAT, A quick fox jumped on a sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, The nozzle of the fire hose was bright brass.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed.
TIME BRINGS US MANY CHANGES, time brings us many changes.
THE PURPLE TIE WAS TEN YEARS OLD, The purple tie was 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Men think in plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, Fill the ink jar with sticky glue.
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoked a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need grain to keep our meals healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Pack the records in a neat thin case.
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The contrafeat in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bullshawing in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, For its full open less capture.
THE PLUSH CHAIR LEANED AGAINST THE WALL, The plush chair leaned against the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass will cling when struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, Pay them relax in the cool green glass.
NINE ROWS OF SOLDIERS STOOD IN A LINE, 9 rows of soldiers stood in line.
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beach is by and shallow upglow tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to sew both edges straight.
THE KITTEN CHASED THE DOG DOWN THE STREET, The kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Pages bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of repeating.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, His own's merge in the central part of town.
A GEM IN THE ROUGH NEEDS WORK TO POLISH, A gem in the rough needs work to polish.
CODE IS USED WHEN SECRETS ARE SENT, Code is used when secrets are sent.
MOST OF THE NEWS IS EASY FOR US TO HEAR, Most of the news is easy for us to hear.
HE USED THE LATHE TO MAKE BRASS OBJECTS, Use the lathe to make brass objects.
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND, The vein on top of the pearl revolved in the wind.
MINCE PIE IS A DISH SERVE TO CHILDREN, Min's pie is a dish served to children.
THE CLAN GATHERED ON EACH DULL NIGHT, The clan gathered on each downright.
LET IT BURN, Let it burn.
IT GIVES US WARMTH AND COMFORT, It gives us warmth and comfort.
A CASTLE BUILT FROM SAND FAILS TO ENDURE, A castle built from sandfails to endure.
A CHILD'S WIT SAVE THE DAY FOR US, The child's wits saved the day for us.
TACK THE STRIP OF CARPET TO THE WORN FLOOR, Take a strip of carpet to the warm floor.
NEXT TUESDAY WE MUST VOTE, Next Tuesday we must vote.
POUR THE STEW FROM THE POT INTO THE PLATE, Pour the stew from the pot into the plate.
EACH PENNY SHONE LIKE NEW, Each penny sound like new.
THE MAN WENT TO THE WOODS TO GATHER STICKS, The mind went to the woods to gather sticks.
THE DIRT PILES WERE LINES ALONG THE ROAD, The ditch piles were lined along the road.
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM, The logs fell and tumbled into the clear stream.
JUST HOIST IT UP AND TAKE IT AWAY, Just hoist his up and take it away.
A RIPE PLUM IS FIT FOR A KING'S PALATE, The right plum is fit for a king's pallet.
OUR PLANS RIGHT NOW ARE HAZY, Our plans right now are hazy.
BRASS RINGS ARE SOLD BY THESE NATIVES, Crafts rings are sold by these necktives.
IT TAKES A GOOD TRAP TO CAPTURE A BEAR, It takes a good shot to capture a bear.
FEED THE WHITE MOUSE SOME FLOWER SEEDS, Feed the white mouse some flower seeds.
THE THAW CAME EARLY AND FREED THE STREAM, The Thorke Merleon freed the stream.
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE, It took the lead and kept it the whole distance.
THE KEY YOU DESIGNED WILL FIT THE LOOK, The key you designed will fit the lock.
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF, Plead to the council to free the poor thief.
BETTER HASH IS MADE OF RARE BEEF, Better Hush is made of rare beef.
THIS PLANK WAS MADE FOR WALKING ON, This plan was made for walking on.
THE LAKE SPARKLED IN THE RED HOT SUN, The lake sparkled in the red hot sun.
HE CRAWLED WITH CARE ALONG THE LEDGE, It crawled with care along the ledge.
TEND THE SHEEP WHILE THE DOG WANDERS, 10-Bisheep Quagadol Gwonders
IT TAKES A LOT OF HELP TO FINISH THESE, It takes a lot of help to finish these.
MARK THE SPOT WITH A SIGN PAINTED RED, Mark the spot with a sign paint to dread.
TAKE TWO SHARES AS A FAIR PROFIT, Take two shares as a fair profit.
THE FUR OF CATS GOES BY MANY NAMES, The fame of cutscores by many names.
NORTH WINDS BRING COLDS AND FEVERS, North winds bring colds and fevers.
HE ASKS NO PERSON TO VOUCH FOR HIM, He asks no person to watch for him.
GO NOW AND COME HERE LATER, Go now and come here later.
A SASH OF GOLD SILK WILL TRIM HER DRESS, A such a gold silk will chain address.
SOAP CAN WASH MOST DIRT AWAY, Soap can wash most due to rain.
THAT MOVE MEANS THE GAME IS OVER, That move means the game is over.
HE WROTE DOWN A LONG LIST OF ITEMS, He wrote down a long list of items.
A SIEGE WILL CRACK THE STRONG DEFENCE, The siege will crack the strong defense.
GRAPE JUICE AND WATER MIX WELL, Grapes and mortar mix well.
ROADS ARE PAVED WITH STICKE TAR, Rode the paved wrist to the keytongue.
FAKE STONES SHINE BUT COST LITTLE, Fixed-down shine but cost little.
THE DRIP OF THE RAIN MADE A PLEASANT SOUND, The drip of the rain made a pleasant sound.
SMOKE POURED OUT OF EVERY CRACK, Smoke pour down to every crack.
SERVE THE HOT RUM TO THE TIRED HEROES, Serve the hot rum to the tired heroes.
MUCH OF THIS STORY MAKES GOOD SENSE, Much of the story makes good sense.
THE SUN CAME UP TO LIGHT THE EASTERN SKY, The sun came up to light the eastern sky.
HEAVE THE LINE OVER THE PORT SIDE, Give the line over the port side.
A LATHE CUTS AND TRIMS ANY WOOD, A lathe cut some trims any wood.
IT'S A DENSE CROWD IN TWO DISTINCT WAYS, It's a dense cloud in two distinct ways.
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER, His hips struck the near the next player.
THE STALE SMELL OF OLD BEER LINGERS, The still smell of old beer lingers.
THE DESK WAS FIRM ON THE SHAKY FLOOR, The desk was firm on the Shakeleaf floor.
IT TAKES HEAT TO BRING OUT THE ODOR, It takes heat to bring out the order.
BEEF IS SCARCER THAN SOME LAMB, Be fiscassiv in Somalam.
RAISE THE SAIL AND STEER THE SHIP NORTHWARD, Raise the silent steaver ship northward.
A CONE COSTS FIVE CENTS ON MONDAYS, A cone costs 5 cents on Mondays.
A POD IS WHAT PEAS ALWAYS GROW IN, Depart this what-piece always growing.
JERK THAT DART FROM THE CORK TARGET, Check that data from the cook targets.
NO CEMENT WILL HOLD HARD WOOD, New cement will hold hardwood.
WE NOW HAVE A NEW BASE FOR SHIPPING, We now have a new base for shipping.
A LIST OF NAMES IS CARVED AROUND THE BASE, A list of names is carved around the base.
THE SHEEP WERE LED HOME BY A DOG, The sheep will land home by dog.
THREE FOR A DIME, Free for a dime.
THE YOUNG PEDDLER CRIED, The young padlock cried.
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH, The sense of smell is better than that of touch.
NO HARDSHIP SEEMED TO MAKE HIM SAD, No hard ship seemed to make him sad.
GRACE MAKES UP THE LACK OF BEAUTY, Glacemakes up for lack of beauty.
NODGE GENTLY BUT WAKE HER NOW, Now it's gently but waken now.
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS, The new struck doubt into restless minds.
ONCE WE STOOD BESIDE THE SHORE, Once we stood beside the shore.
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW," It's shrinking the wall, allowing the draft to blow."
FASTEN TWO PINS ON EACH SIDE, Fasten two pins on each side.
A COLD DIP RESTORES HEALTH AND ZEST.," A cold, deepest, tall health, and zest."
HE TAKES THE OATH OF OFFICE EACH MARCH, He takes the oath of office each March.
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE, The sun gets over the cells of the old house.
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED, The point of the steel pan was bent and twisted.
THERE IS A LAG BETWEEN THOUGHT AND ACT, There is a lag between Foughton Act.
SEED IS NEEDED TO PLANT THE SPRING CORN, Seed is needed to plant the spring corn.
DRAW THE CHART WITH HEAVY BLACK LINES, Draw the charts with heavy black lines.
THE BOY OWED HIS PAL THIRTY CENTS, The boy odyspile thirty cents.
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST, The chop slipped into the crowned him with lust.
HATS ARE WORN TO TEA AND NOT TO DINNER, How so won't it be a lot to dinner?
THE RAMP LED UP TO THE WIDE HIGHWAY, The lamp light up to the white highway.
BEAT THE DUST FROM THE RUG ONTO THE LAWN, Beat the dust from the right going to the lawn.
SAY IT SLOWLY BUT MAKE IT RING CLEAR, Say it slowly but make it ring clear.
THE STRAW NEST HOUSED FIVE ROBINS, The straw nest toast five robins.
SCREEN THE PORCH WITH WOVEN STRAW MATS, Screen approach with woven stone nuts.
THIS HORSE WILL NOSE HIS WAY TO THE FINISH, This horse renews his weight to the finish.
THE DRY WAX PROTECTS THE DEEP SCRATCH, The dry wax protects the deep scotch.
HE PICKED UP THE DICE FOR A SECOND ROLL, He picked up the dice for a second roll.
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The mag pulled the failed cartridge along.
TWIST THE VALVE AND RELEASE HOT STEAM, Tristavalvin' release hot steam.
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, Vampire the shoe had a gold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE, The smell of print drags itches my nose.
NEW PANTS LACK CUFFS AND POCKETS, New pants like cuffs and pockets.
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze when cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, A slice of sausage thin with a knife.
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The bloom of the rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A grey may walk before the coat.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, Doctors hold four kinds of lung.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man who left Havana is felt hot.
HE WHEELED THE BIKE PAST THE WINDING ROAD, You will the bike pass the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the wall no-drunk.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The desk in both chairs were painted on.
THROW OUT THE USED PAPER CUP AND PLATE, throw on the used paper cup and plate
A CLEAN NECK MEANS A NEAT COLLAR," A clean, maclean's a neat collar."
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover and hold drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glasses cracked in bulk.
THE WALL PHONE RANG LOUD AND OFTEN, The wolf is running loud in the afternoon.
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes slide on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn off the lamp tin which gives us light.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, Becleat sunk deeply into the soft tooth.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills were nailed pumped clear on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have these better than to wait and hope.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The price is fair for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they talked.
DISPENSE WITH A VEST ON A DAY LIKE THIS, This spends with a rest on a day like this.
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressed into wine.
HE SENT THE FIGS, He sent the figs.
BUT KEPT THE RIPE CHERRIES, But kept the wife cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE," Behing on the door, click to the old age."
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in the sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night and you waste little time.
THICK GLASSES HELPED HIM READ THE PRINT, Fix glasses help to read the print.
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, if you death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looked strong with no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, Becite few wildly in the high wind.
A FUR MUFF IS STYLISH ONCE MORE, A fair mouth is stylish once more.
THE TIN BOXS HELD PRICELESS STONES, Between box held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter.
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were given on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN, We don't get much money but we have fun.
THE YOUTH DROVE WITH ZEST, Youth go resessed.
BUT LITTLE SKILL, A little skill.
